id,name,rank_all,rank_futures,rank_equities_only,profit,trades,win_rate,profit_factor,avg_win,avg_loss,profit_1y,first,last,active_days,green_day_pct,daily_sharpe_ann,max_drawdown,recovery_factor,worst_day,best_day,top5pct_days_share_of_profit,profitable_years,years,recent_asset_mix,recent_median_hold_min,tickers_hidden,twitter,url
17953,Aleniv,,44,,-4389.97,730,0.489,0.91,123.679,-130.1431,-3679.41,2022-10-17,2026-09-18,164,0.7012,-1.0765,5464.0,-0.8034,-3068.9,1365.46,,2,5,OPT:5,16.2333,False,,https://kinfo.com/portfolio/17953/performance
79199,Leon Mora,,45,,-4739.7,334,0.5269,0.78,98.3037,-139.5009,-5107.0,2025-06-10,2026-07-21,204,0.5539,-1.373,6944.6,-0.6825,-1748.5,1178.6,,1,2,FUT:5,4.2535,False,,https://kinfo.com/portfolio/79199/performance
93753,hxcjf,,46,,-5386.63,867,0.4394,0.98,677.4216,-542.1455,-5386.63,2026-07-08,2026-09-22,53,0.4151,-1.6485,11561.3808,-0.4659,-1345.9413,5355.4365,,0,1,OPT:5,1193.55,False,,https://kinfo.com/portfolio/93753/performance
54550,KingdomOak Capital,,47,,-7412.97,594,0.5101,0.96,613.155,-663.9138,-7412.97,2026-01-20,2026-09-22,130,0.5,-0.2592,61559.5518,-0.1204,-30779.5,8753.15,,0,1,OPT:5,55.3,False,,https://kinfo.com/portfolio/54550/performance
106265,Alfredkhong91,,48,,-7954.13,263,0.5095,0.89,465.3425,-545.0391,-6110.12,2024-01-07,2026-09-16,201,0.5075,-0.4626,19171.3765,-0.4149,-14471.18,4390.78,,1,3,FUT:5,2430.1,False,,https://kinfo.com/portfolio/106265/performance
80588,davidbartos,,49,,-8089.0,1696,0.4629,0.92,117.0724,-109.7594,-11022.07,2023-06-26,2026-09-23,488,0.459,-0.6231,15294.26,-0.5289,-1830.34,4738.88,,1,4,FUT:5,500.0105,False,,https://kinfo.com/portfolio/80588/performance
32382,M@NTI$,,50,,-8284.49,996,0.51,0.93,216.4033,-242.2487,-5101.49,2023-03-06,2026-09-21,439,0.492,-0.439,14264.0008,-0.5808,-5390.7,3124,,2,4,FUT:5,1770.0,False,,https://kinfo.com/portfolio/32382/performance
92156,digitalmicrotrading,,51,,-8504.14,675,0.8874,0.72,36.7446,-401.5024,-8504.14,2026-01-01,2026-09-22,173,0.8439,-0.9766,16505.85,-0.5152,-6632.36,441.39,,0,1,FUT:5,39.45,True,,https://kinfo.com/portfolio/92156/performance
45294,Sunny Dukes,,52,,-10325.37,401,0.4763,0.61,84.5842,-126.0998,2954.55,2024-02-21,2026-07-15,148,0.5878,-1.6031,14744.95,-0.7003,-6298.06,1478.9,,1,3,FUT:5,29.3337,False,,https://kinfo.com/portfolio/45294/performance
39977,remyseven,,53,,-10496.72,3311,0.6258,0.99,489.253,-826.6578,-1133.62,2020-08-24,2026-09-15,813,0.6593,-0.2329,34543.5926,-0.3039,-8742.96,8279.43,,3,7,FUT:2;OPT:3,65.6,False,,https://kinfo.com/portfolio/39977/performance
16121,Recordatio,,54,,-11076.5,692,0.3902,0.88,287.7157,-210.3312,-11452.5,2021-08-02,2026-07-31,544,0.3603,-0.792,13826.75,-0.8011,-2424.75,2321.5,,3,6,FUT:5,4320.0,False,,https://kinfo.com/portfolio/16121/performance
95604,Awal Technologies ,,55,,-11465.85,487,0.4189,0.8,225.3914,-202.9883,-11465.85,2026-01-02,2026-09-22,124,0.5161,-2.4189,12762.2006,-0.8984,-1790.7502,1146,,0,1,FUT:5,15.4,False,,https://kinfo.com/portfolio/95604/performance
19999,TheRealDeal,,56,,-12356.9,7098,0.6936,1.0,810.0304,-1839.1408,71704.19,2020-01-16,2026-09-22,943,0.6957,-0.0474,182280.0082,-0.0678,-50048.632,45910.81,,4,7,OPT:5,399.1833,False,,https://kinfo.com/portfolio/19999/performance
48087,The Shark,,57,,-13991.26,3012,0.656,0.81,30.8875,-72.4179,2852.43,2021-10-12,2026-09-17,684,0.6506,-1.0439,17724.281,-0.7894,-6056.3225,1307.3547,,2,6,FUT:5,6.1333,False,,https://kinfo.com/portfolio/48087/performance
53874,NumbersGoUpAndDown ,,58,,-14275.1,634,0.4685,0.96,1040.0593,-958.9694,-32148.82,2022-02-03,2026-09-22,363,0.4683,-0.2788,68594.0275,-0.2081,-11157.17,8362.68,,2,5,FUT:5,11520.0167,False,,https://kinfo.com/portfolio/53874/performance
106103,Dannosuke,,59,,-15182.6,1298,0.5994,0.8,76.0818,-143.0274,-1392.69,2019-10-29,2026-09-16,240,0.725,-1.179,15733.405,-0.965,-10519.37,1478.96,,2,8,OPT:5,0.45,False,,https://kinfo.com/portfolio/106103/performance
39053,Ris,,60,,-15327.78,1268,0.5118,0.78,81.9662,-110.7009,-6965.08,2022-04-29,2026-09-18,549,0.5301,-1.5894,21197.17,-0.7231,-2567.06,2024.62,,0,5,FUT:5,1.5853,False,,https://kinfo.com/portfolio/39053/performance
89826,hugocentrique,,61,,-21170.49,354,0.4661,0.59,181.15,-270.16,-21170.49,2025-11-24,2026-09-22,131,0.4351,-4.1788,21170.4911,-1.0,-2327.29,1514.4696,,0,2,OPT:5,1376.25,True,,https://kinfo.com/portfolio/89826/performance
96522,jlabtrades,,62,,-21436.23,8075,0.8295,0.89,27.152,-147.6398,-8749.62,2023-08-23,2026-09-23,440,0.6773,-0.975,24222.58,-0.885,-7758.36,2241.96,,0,4,FUT:5,1.0605,False,@jlabtrades,https://kinfo.com/portfolio/96522/performance
63327,mrivasbatrading,,63,,-21602.08,2928,0.3627,0.92,237.2302,-146.5919,-17903.08,2025-05-01,2026-09-23,323,0.4489,-1.0472,33538.7291,-0.6441,-4452.8008,3529,,1,2,FUT:5,53.9167,False,,https://kinfo.com/portfolio/63327/performance
13347,Jan,,64,,-25719.08,8404,0.6975,0.89,33.9838,-88.4392,-28323.4,2020-08-14,2026-09-22,1391,0.6894,-0.3589,47167.752,-0.5453,-24118.0552,1906.6034,,4,7,FUT:4;OPT:1,44.3167,False,,https://kinfo.com/portfolio/13347/performance
89845,Red Diver,,65,,-26045.59,632,0.5063,0.8,329.9041,-421.8427,-26840.39,2025-09-09,2026-09-21,135,0.6815,-1.9651,30360.65,-0.8579,-6114.5,1996,,0,2,STK:5,59.7333,False,,https://kinfo.com/portfolio/89845/performance
79667,Mabel Trades,,66,,-30341.12,3664,0.7784,0.88,74.6919,-299.7072,-21907.46,2024-04-03,2026-09-14,396,0.6338,-1.1075,36657.82,-0.8277,-8804.84,4926.22,,0,3,FUT:5,29.6864,False,,https://kinfo.com/portfolio/79667/performance
